	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	AA203579	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	Hs.654408	NFKB1	4	4q24	This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding subunit of the NF-kappa-B (NFKB) protein complex. NFKB is a transcription regulator that is activated by various intra- and extra-cellular stimuli such as cytokines, oxidant-free radicals, ultraviolet irradiation, and bacterial or viral products. Activated NFKB translocates into the nucleus and stimulates the expression of genes involved in a wide variety of biological functions. Inappropriate activation of NFKB has been associated with a number of inflammatory diseases while persistent inhibition of NFKB leads to inappropriate immune cell development or delayed cell growth.	anti-apoptosis - antibacterial humoral response (sensu Vertebrata) - apoptosis - cytoplasm - inflammatory response - nucleus - protein binding - regulation of transcription, DNA-dependent - response to pathogenic bacteria - signal transduction - transcription factor activity - transcription from RNA polymerase II promoter	8.153221212	5.790573864	3.423583691	5.789126256
	AA011699	Family with sequence similarity 40, member B	Hs.489988	FAM40B	7	7q32.3	-	-	10.65799933	3.222688286	3.490886264	5.790524627
	H42171	RAB6A, member RAS oncogene family	Hs.503222	RAB6A	11	11q13.3	-	GTP binding - GTPase activity - Golgi apparatus - protein transport - small GTPase mediated signal transduction	10.77306495	4.36665724	2.284493492	5.808071894
	H37961	Homo sapiens transcribed sequences	-	-	-	-	-	-	8.789410166	6.570416385	2.077932354	5.812586302
	N40837	yw82f12.r1 Soares_placenta_8to9weeks_2NbHP8to9W Homo sapiens cDNA	-	-	-	-	-	-	8.885865328	5.804958959	2.764310537	5.818378275
	AA035135	zk28b09.r1 Soares_pregnant_uterus_NbHPU Homo sapiens cDNA clone	-	-	-	-	-	-	4.814599657	7.960345987	4.683738238	5.819561294
	AA203381	MTERF domain containing 2	Hs.159556	MTERFD2	2	2q37.3	-	-	8.182283614	6.320424382	3.017359511	5.840022502
	AA059369	Male germ cell-associated kinase	Hs.446125	MAK	6	6q22	The product of this gene is a serine/threonine protein kinase related to kinases involved in cell cycle regulation. It is expressed almost exclusively in the testis, primarily in germ cells. Studies of the mouse and rat homologs have localized the kinase to the chromosomes during meiosis in spermatogenesis, specifically to the synaptonemal complex that exists while homologous chromosomes are paired. There is, however, a study of the mouse homolog that has identified high levels of expression in developing sensory epithelia so its function may be more generalized.	ATP binding - cell differentiation - protein amino acid phosphorylation - protein serine/threonine kinase activity - spermatogenesis - transferase activity	7.863217055	5.949656962	3.781514199	5.864796072
	R13562	Jerky homolog (mouse)	Hs.535903	JRK	8	8q24.3	-	-	5.85543743	8.600648626	3.227046658	5.894377571
	AA009952	G patch domain containing 2	Hs.420757	GPATCH2	1	1q41	-	intracellular - nucleic acid binding	6.951103719	6.544488944	4.234215249	5.909935971
	R59156	yg96f11.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	5.373487666	9.953010473	2.417784727	5.914760955
	BI913396	603178889F1 NIH_MGC_121 Homo sapiens cDNA clone IMAGE:5243038 5,	-	-	-	-	-	-	7.954834255	7.504010177	2.292197541	5.917013991
	T82919	yd39e03.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	5.277136578	7.204085048	5.303852748	5.928358125
	T83044	Insulin-like growth factor 1 receptor	Hs.649408	IGF1R	15	15q26.3	This receptor binds insulin-like growth factor with a high affinity. It has tyrosine kinase activity. The insulin-like growth factor I receptor plays a critical role in transformation events. Cleavage of the precursor generates alpha and beta subunits. It is highly overexpressed in most malignant tissues where it functions as an anti-apoptotic agent by enhancing cell survival.	ATP binding|anti-apoptosis|epidermal growth factor receptor activity|insulin receptor signaling pathway|insulin-like growth factor receptor activity|integral to membrane|membrane|positive regulation of cell proliferation|protein amino acid phosphorylation|protein binding|receptor activity|regulation of cell cycle|signal transduction|transferase activity	3.916151902	5.014863989	8.856602381	5.929206091
	H14414	Zinc finger protein 195	Hs.386294	ZNF195	11	11p15.5	-	DNA binding - DNA binding - nucleus - nucleus - regulation of transcription, DNA-dependent - regulation of transcription, DNA-dependent - transcription - zinc ion binding - zinc ion binding	5.427086781	7.606104331	4.886734264	5.973308459
	F12920	F-box protein 4	Hs.165575	FBXO4	5	5p12	This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. Alternative splicing of this gene generates 2 transcript variants.	protein ubiquitination - ubiquitin ligase complex - ubiquitin-protein ligase activity	6.152930418	9.502248934	2.280650154	5.978609835
	AA035152	Ribosomal protein L38	Hs.380953	RPL38	17	17q23.1	Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L38E family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome, including one located in the promoter region of the type 1 angiotensin II receptor gene.	protein biosynthesis - ribosome - structural constituent of ribosome	5.668764813	5.937272791	6.371951646	5.992663083
	W01759	yy69b11.r1 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA	-	-	-	-	-	-	7.969288679	2.891658407	7.311396733	6.05744794
	H08880	Hypothetical protein FLJ11710	Hs.463549	FLJ11710	17	17q23.2	-	-	4.890100913	10.64843609	2.6514928	6.063343268
	BQ024932	EP400 N-terminal like	Hs.122115	EP400NL	12	12q24.33	-	-	11.35328171	4.007470675	2.918002081	6.092918156
	H53178	Homo sapiens transcribed sequence with moderate similarity to protein pdb:1J4R (H.sapiens) A Chain A, Fk506 Binding Protein Complexed With Fkb-001	-	-	-	-	-	-	4.416706342	9.823134895	4.039461438	6.093100892
	AA044796	Homo sapiens transcribed sequence with weak similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry	-	-	-	-	-	-	6.9693937	7.916079291	3.400978366	6.095483786
	R67296	Solute carrier family 35, member F2	Hs.524014	SLC35F2	11	11q22.3	-	biological_process unknown - cellular_component unknown - molecular_function unknown	8.438428379	6.699455436	3.205260671	6.114381495
	R10316	Eukaryotic translation elongation factor 1 alpha 1	Hs.654617	EEF1A1	6	6q14.1	This gene encodes an isoform of the alpha subunit of the elongation factor-1 complex, which is responsible for the enzymatic delivery of aminoacyl tRNAs to the ribosome. This isoform (alpha 1) is expressed in brain, placenta, lung, liver, kidney, and pancreas, and the other isoform (alpha 2) is expressed in brain, heart and skeletal muscle. This isoform is identified as an autoantigen in 66% of patients with Felty syndrome. This gene has been found to have multiple copies on many chromosomes, some of which, if not all, represent different pseudogenes.	GTP binding - GTPase activity - cytoplasm - cytoplasm - protein biosynthesis - regulation of translation - translation elongation factor activity - translation elongation factor activity - translational elongation - translational elongation	8.38425245	7.943467734	2.041730549	6.123150244
	H02480	DKFZp434A0131 protein	Hs.416436	DKFZP434A0131	7	7q11.23-q21.1	-	-	5.91388767	7.112613372	5.395951872	6.140817638
	R56646	Septin 5	Hs.283743	9/5/2013	22	22q11.21	This gene is a member of the septin gene family which encodes nucleotide binding proteins, originally described in yeast as cell division cycle regulatory proteins. Septins are highly conserved in yeast, Drosophila and mouse, and appear to regulate cytoskeletal organization. Disruption of septin function disturbs cytokinesis and results in large multinucleate or polyploid cells. This gene is mapped to 22q11, the region frequently deleted in DiGeorge and velocardiofacial syndromes, and a translocation involving MLL gene and this gene has also been reported in patients with acute myeloid leukemia. Two transcripts, a major one of 2.2 kb and a minor one of 3.5 kb, have been observed in the gene region. The 2.2 kb form which encodes this septin (369 amino acids) protein, results from the utilization of a non-consensus polyA_signal (AACAAT). In the absence of polyadenylation from this imperfect site, this gene uses the consensus polyA_signal within its 3 neighbour gene (GP1BB; platelet glycoprotein Ib), resulting in the 3.5 kb read-through transcript. A transcript variant with a different 5 end arising by alternative splicing, and possibly accompanied by alternative promoter usage, has also been identified.	GTP binding - GTPase activity - cell cycle - cytokinesis - structural molecule activity	8.688519066	4.102745694	5.808902828	6.200055863
	R60825	Mitogen-activated protein kinase 9	Hs.654461	MAPK9	5	5q35	The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase targets specific transcription factors, and thus mediates immediate-early gene expression in response to various cell stimuli. It is most closely related to MAPK8, both of which are involved in UV radiation induced apoptosis, thought to be related to the cytochrome c-mediated cell death pathway. This gene and MAPK8 are also known as c-Jun N-terminal kinases. This kinase blocks the ubiquitination of tumor suppressor p53, and thus it increases the stability of p53 in nonstressed cells. Studies of this genes mouse counterpart suggest a key role in T-cell differentiation.	ATP binding - JNK cascade - JUN kinase activity - MAP kinase activity - protein amino acid phosphorylation - protein binding - protein serine/threonine kinase activity - response to stress - transferase activity	11.83616822	4.054360181	2.791750464	6.227426288
	H60507	CD302 molecule	Hs.130014	CD302	2	2q24.2	-	integral to membrane - receptor activity - sugar binding	11.03601715	5.499492376	2.154883173	6.230130899
	R85157	Bicaudal D homolog 1 (Drosophila)	Hs.505202	BICD1	12	12p11.2-p11.1	This gene is one of two human homologs of Drosophila bicaudal-D. It has been implicated in COPI-independent membrane transport from the Golgi apparatus to the endoplasmic reticulum. Two alternative splice variants have been described. Other alternative splice variants that encode different protein isoforms have been described but their full-length nature has not been determined.	Golgi apparatus - RNA processing - cytoskeleton - intracellular mRNA localization - morphogenesis - structural constituent of cytoskeleton	5.36722006	8.712520672	4.612591804	6.230777512
	AW963288	EST375361 MAGE resequences, MAGH Homo sapiens cDNA, mRNA sequence.	-	-	-	-	-	-	9.759889998	6.925067832	2.014850459	6.23326943
	AA059351	Homo sapiens full length insert cDNA clone YP52B12	-	-	-	-	-	-	6.980910694	7.096429587	4.637946146	6.238428809
	H44682	yp20h06.r1 Soares breast 3NbHBst Homo sapiens cDNA clone	-	-	-	-	-	-	5.041530456	10.3727782	3.324363197	6.246223951
	H73225	Cyclin-dependent kinase 6	Hs.119882	CDK6	7	7q21-q22	The protein encoded by this gene is a member of the cyclin-dependent protein kinase (CDK) family. CDK family members are highly similar to the gene products of Saccharomyces cerevisiae cdc28, and Schizosaccharomyces pombe cdc2, and are known to be important regulators of cell cycle progression. This kinase is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression and G1/S transition. The activity of this kinase first appears in mid-G1 phase, which is controlled by the regulatory subunits including D-type cyclins and members of INK4 family of CDK inhibitors. This kinase, as well as CDK4, has been shown to phosphorylate, and thus regulate the activity of, tumor suppressor protein Rb.	ATP binding - G1 phase of mitotic cell cycle - cell proliferation - cytokinesis - protein amino acid phosphorylation - protein serine/threonine kinase activity - regulation of cell cycle - transferase activity	4.97062808	11.7174522	2.0685147	6.252198327
	R20833	Hypothetical protein LOC150568	Hs.107284	LOC150568	2	2q12.1	-	-	7.470414114	8.316209082	3.009008334	6.26521051
	W92881	Ribosomal protein L41	Hs.660053	RPL41	12	12q13	-	-	8.935585236	7.421347441	2.517744031	6.291558903
	T79884	CDNA FLJ34007 fis, clone FCBBF1000349	Hs.448887	-	17	-	-	-	9.150037529	6.471127623	3.288820239	6.303328464
	N76285	Transcribed locus	Hs.20798	-	X	-	-	-	5.290686391	8.856521577	4.794150093	6.31378602
	H65569	Poly (ADP-ribose) polymerase family, member 4	Hs.591227	PARP4	13	13q11	This gene encodes poly(ADP-ribosyl)transferase-like 1 protein, which contains a catalytic domain and is capable of catalyzing a poly(ADP-ribosyl)ation reaction. This protein has a catalytic domain which is homologous to that of poly (ADP-ribosyl) transferase, but lacks an N-terminal DNA binding domain which activates the C-terminal catalytic domain of poly (ADP-ribosyl) transferase. Since this protein is not capable of binding DNA directly, its transferase activity may be activated by other factors such as protein-protein interaction mediated by the extensive carboxyl terminus.	DNA binding - DNA repair - NAD+ ADP-ribosyltransferase activity - cell death - inflammatory response - nucleus - protein amino acid ADP-ribosylation - response to drug - ribonucleoprotein complex - transferase activity, transferring glycosyl groups - transport	7.024186521	6.948439983	4.990645807	6.32109077
