ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
221083_at	KCNQ4	0.030575	potassium voltage-gated channel, KQT-like subfamily, member 4	cation transport	voltage-gated potassium channel activity	membrane fraction			1.07	1.77	-1.31	-0.12	-1.52
221206_at	PMS2	0.028927	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	mismatch repair	DNA binding	nucleus			0.94	1.25	-0.81	-1.29	-0.09
221274_s_at	LMAN2L	0.043761	lectin, mannose-binding 2-like	protein folding	sugar binding	endoplasmic reticulum membrane			0.77	0.67	-0.52	-0.93	0.02
221294_at	GPR21	0.02291	G protein-coupled receptor 21	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane			0.85	0.49	-0.41	-0.77	-0.18
221334_s_at	FOXP3	0.009581	forkhead box P3	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.52	1.35	-1.24	-0.38	-1.39
221376_at	FGF17	0.003622	fibroblast growth factor 17	signal transduction	growth factor activity	extracellular space			1.44	1.49	-0.58	-1.35	-1.19
221406_s_at	MSH5	0.012838	mutS homolog 5 (E. coli)	DNA metabolism	damaged DNA binding		Ovarian_Infertility_Genes	GENMAPP/KEGG	0.5	0.37	-0.44	-0.11	-0.31
221417_x_at	EDG8	0.006672	endothelial differentiation, sphingolipid G-protein-coupled receptor, 8	G-protein coupled receptor protein signaling pathway	lysosphingolipid and lysophosphatidic acid receptor activity	integral to membrane			0.44	0.27	-0.32	-0.15	-0.24
221497_x_at	EGLN1	0.038234	egl nine homolog 1 (C. elegans)	protein metabolism	oxidoreductase activity	cytosol			0.85	0.86	-0.32	-0.18	-1.16
221569_at	AHI1	0.004651	Abelson helper integration site						0.98	1.29	-0.63	-1.14	-0.61
221598_s_at	CRSP8	0.027093	cofactor required for Sp1 transcriptional activation, subunit 8, 34kDa	regulation of transcription from Pol II promoter	transcription coactivator activity				0.44	1.13	-0.84	-0.53	-0.28
221599_at	PTD015	0.047296	PTD015 protein						0.85	0.3	-0.71	-0.31	-0.15
221617_at	PGK1	0.009323	phosphoglycerate kinase 1	glycolysis	phosphoglycerate kinase activity				0.6	0.6	-0.55	-0.52	-0.15
221723_s_at	SLC4A5	0.047023	solute carrier family 4, sodium bicarbonate cotransporter, member 5	anion transport	inorganic anion exchanger activity	membrane			1.61	0.41	-0.87	-0.3	-1.08
221736_at	KIAA1219	0.044749	KIAA1219 protein						0.97	0.32	-0.28	-0.27	-0.78
221740_x_at	KIAA0563	0.005222	MRNA; cDNA DKFZp313O1721 (from clone DKFZp313O1721)						1.33	0.81	-0.55	-0.74	-0.98
221754_s_at	CORO1B	0.004109	coronin, actin binding protein, 1B		actin binding				0.67	0.96	-0.39	-0.74	-0.54
221757_at	MGC17330	0.029065	HGFL gene						1.24	0.39	-0.39	-0.82	-0.54
221769_at	SSB3	0.002975	SPRY domain-containing SOCS box protein SSB-3	intracellular signaling cascade					0.9	1	-0.88	-0.41	-0.68
221794_at	DOCK6	0.048362	dedicator of cytokinesis 6						0.84	1.45	-0.94	0.04	-1.4
221866_at	TFEB	0.044562	transcription factor EB	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.4	2.57	-1.25	-1.06	-1.73
221875_x_at	HLA-F	0.032475	major histocompatibility complex, class I, F	immune response	MHC class I receptor activity	integral to membrane	Proteasome_Degradation	GENMAPP/KEGG	0.47	1.99	-1.05	-1.16	-0.76
221892_at	H6PD	0.004114	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	carbohydrate metabolism	glucose-6-phosphate 1-dehydrogenase activity	endoplasmic reticulum	Pentose phosphate pathway	GENMAPP/KEGG	1.49	1.12	-1.23	-0.58	-0.98
221928_at	LOC283445	0.021199	hypothetical protein LOC283445						2.21	0.69	-1.4	-1.2	-0.94
221975_s_at	C21orf2	0.016337	MRNA for FLJ00235 protein.						0.64	1.76	-1.07	-0.88	-0.78
222121_at	SGEF	0.004259	Src homology 3 domain-containing guanine nucleotide exchange factor						1.37	1.6	-0.58	-1.33	-1.28
222133_s_at	CGI-72	0.018518	CGI-72 protein		nucleic acid binding				0.71	0.5	-0.27	-0.71	-0.23
222152_at	PDCD6	0.037316	programmed cell death 6	apoptosis	calcium ion binding				1.24	1.69	-1.78	-1.09	-0.03
222275_at	---	0.01699	MRNA; cDNA DKFZp686K0394 (from clone DKFZp686K0394)						0.34	0.92	-0.37	-0.5	-0.45
222284_at	---	7.80E-05							0.74	0.66	-0.5	-0.49	-0.45
222294_s_at	---	0.036312							1.29	1.75	-1.41	0.03	-1.67
222335_at	---	0.027347							0.17	0.54	-0.3	-0.25	-0.17
222338_x_at	---	0.049212							0.69	0.25	-0.57	-0.09	-0.29
222341_x_at	---	0.003118							1.04	0.69	-0.75	-0.57	-0.48
222342_at	---	0.026503							2.1	0.54	-1.21	-0.96	-1.07
222344_at	---	0.039186							1.68	0.93	-1.61	-0.95	-0.11
38398_at	MADD	0.038385	MAP-kinase activating death domain	cell surface receptor linked signal transduction	death receptor binding	cytoplasm			0.23	0.77	-0.37	-0.16	-0.49
40020_at	CELSR3	0.039591	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	cell adhesion	G-protein coupled receptor activity	integral to membrane	GPCRs_Other	GENMAPP/KEGG	0.24	0.5	-0.04	-0.27	-0.43
40472_at	LOC254531	0.024397	PLSC domain containing protein	metabolism	acyltransferase activity				2.12	0.7	-1.47	-0.73	-1.15
40489_at	DRPLA	0.040424	dentatorubral-pallidoluysian atrophy (atrophin-1)	central nervous system development	protein binding	nucleus			0.28	1.05	-0.54	-0.63	-0.24
40569_at	ZNF42	0.010522	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.65	0.64	-0.35	-0.24	-0.72
45687_at	MGC3121	0.028148	hypothetical protein MGC3121						0.94	0.38	-0.73	-0.4	-0.24
47083_at	C7orf26	0.024722	chromosome 7 open reading frame 26						0.43	0.63	-0.21	-0.19	-0.66
50221_at	TFEB	0.013458	transcription factor EB	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.19	1.51	-0.35	-1.48	-0.97
52975_at	C9orf28	0.049938	chromosome 9 open reading frame 28						0.63	1.91	-1.54	-0.2	-1.06
55093_at	CSGlcA-T	0.046075	chondroitin sulfate glucuronyltransferase						0.5	0.66	0.06	-0.59	-0.64
59697_at	RAB15	0.009036	RAB15, member RAS onocogene family	small GTPase mediated signal transduction	GTP binding				0.71	0.45	-0.59	-0.25	-0.35
65438_at	KIAA1609	0.024173	KIAA1609 protein						1.1	1.46	-1.31	-0.11	-1.2
AFFX-r2-Hs18SrRNA-5_at	AFFX-r2-Hs18SrRNA-5_at	0.032188	Similar to rRNA intron-encoded homing endonuclease						0.51	2.01	-1.25	-0.7	-1.07
